source,target,alpha_IS,alpha_OOS,abs_diff,rel_change
MSFT,GILD,0.003978462719852212,0.002955867252103282,0.0010225954677489301,-0.257032167808082
CRM,COST,0.0039761856605494365,0.0048861910192715685,0.000910005358722132,0.22886332474805482
AMZN,GILD,0.00397505043876143,0.0029781045721766534,0.0009969458665847765,-0.25080017824720424
AAPL,CRM,0.0039664195702395376,0.0036805589016420046,0.000285860668597533,-0.07207002255690362
INTC,GILD,0.003964510385933714,0.002977606375390661,0.0009869040105430528,-0.24893402340536072
TSLA,CRM,0.003891109540800322,0.003793826938490437,9.728260230988488e-05,-0.02500118572298498
AAPL,GILD,0.0038908130487245673,0.0029397997619534217,0.0009510132867711456,-0.24442470779618025
NVDA,GILD,0.003884089260914465,0.0029120673445230272,0.0009720219163914376,-0.2502567136151373
NVDA,CRM,0.0038760287253875817,0.003455554101329321,0.0004204746240582609,-0.10848050131806045
WMT,COST,0.0038663835928675087,0.004333259760203916,0.0004668761673364075,0.12075236421808495
TSLA,GILD,0.0038136237893823138,0.002833557068501097,0.0009800667208812166,-0.2569902552284539
CSCO,COST,0.0037678890794134562,0.0045996838694552416,0.0008317947900417853,0.22075824551311224
LCID,ISRG,0.0036135153263418818,0.003303941492677148,0.00030957383366473365,-0.08567086313412609
INTC,COST,0.0035482241897968787,0.003940447962071839,0.0003922237722749607,0.11054055377821999
GILD,AMGN,0.003535339021577204,0.004001838897628388,0.00046649987605118385,0.13195299055454135
MSFT,COST,0.003528020370497016,0.0038335813627684025,0.00030556099227138644,0.08660951300947563
GILD,ISRG,0.003502173239144707,0.0024777952119286193,0.0010243780272160877,-0.29249698181590816
AAPL,COST,0.003457535295147216,0.0038458846773026622,0.00038834938215544625,0.1123193910721887
AMZN,COST,0.003428287295177702,0.004188938234938692,0.0007606509397609902,0.2218742641809198
TSLA,COST,0.0034049931819361444,0.0034593595821429102,5.436640020676587e-05,0.015966622438177043
NVDA,COST,0.0033942738547473273,0.003566254447171873,0.00017198059242454558,0.05066771071135061
COST,AMGN,0.003385370315621671,0.00325136143670212,0.00013400887891955099,-0.039584586198830776
CRM,ISRG,0.003359469095342652,0.0025148389764914755,0.0008446301188511766,-0.25141698902729087
COST,RXRX,0.003343781436377973,0.0024010031006077635,0.0009427783357702094,-0.28194890551889085
GILD,LCID,0.0032623294107599226,0.0030400328226370746,0.00022229658812284803,-0.06814023929872666
SBUX,ISRG,0.003244010755182817,0.0025014926300238587,0.0007425181251589585,-0.22888821656663963
PEP,ISRG,0.003234750993849968,0.0023955077455390353,0.0008392432483109325,-0.25944521091559125
PEP,AMGN,0.0032083355853628087,0.003194674102116529,1.366148324627968e-05,-0.00425810838726552
CRM,AMGN,0.003192022405388775,0.0031379254956251878,5.4096909763587386e-05,-0.016947481382789606
